name,resource,affiliation
Yue Chen,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1instance,Business Information and Communication Systems
Victor Pankratius,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2044instance,Business Information and Communication Systems
Müge Klein,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id21instance,Business Information and Communication Systems
Daniel Sommer,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id23instance,Business Information and Communication Systems
Peter Weiß,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2062instance,Business Information and Communication Systems
Oliver Paulzen,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2087instance,Business Information and Communication Systems
Roman Povalej,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id99instance,Business Information and Communication Systems
Andreas Oberweis,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1876instance,Business Information and Communication Systems
Kirsten Lenz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1954instance,Business Information and Communication Systems
Marco Mevius,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2058instance,Business Information and Communication Systems
Kirsten Keferstein,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2070instance,Business Information and Communication Systems
Agnes Koschmider,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2072instance,Business Information and Communication Systems
Stefan Klink,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2126instance,Business Information and Communication Systems
Cornelia Richter-von Hagen,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id31instance,Business Information and Communication Systems
Wolffried Stucky,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id38instance,Business Information and Communication Systems
Tatyana Podgayetskaya,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id44instance,Business Information and Communication Systems
Thomas Erwin,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id61instance,Business Information and Communication Systems
Andrijana Mandaric,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2088instance,Business Information and Communication Systems
Gunther Schiefer,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id12instance,Business Information and Communication Systems
Michael Decker,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2039instance,Business Information and Communication Systems
Tamara Högler,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2041instance,Business Information and Communication Systems
Rebecca Bulander,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2042instance,Business Information and Communication Systems
Olivier Sandel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2043instance,Business Information and Communication Systems
Eulálio Campelo,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2064instance,Business Information and Communication Systems
Ralf Trunko,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2073instance,Business Information and Communication Systems
Daniel Ried,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2121instance,Business Information and Communication Systems
Yu Li,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2136instance,Business Information and Communication Systems
Stefanie Betz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2137instance,Business Information and Communication Systems
Michaela Fischer,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2080instance,Business Information and Communication Systems
Helga Neher,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id52instance,Business Information and Communication Systems
Martin Werner,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2068instance,Business Information and Communication Systems
Markus Zaich,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2069instance,Business Information and Communication Systems
Markus Grüne,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2083instance,Business Information and Communication Systems
Maik Herfurth,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2151instance,Business Information and Communication Systems
Roland Schätzle,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id42instance,Business Information and Communication Systems
Peter Dadam,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1834instance,Business Information and Communication Systems
Helmut Grimm,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1842instance,Business Information and Communication Systems
Sabine Just-Höpfinger,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1851instance,Business Information and Communication Systems
Claus Kaldeich,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1852instance,Business Information and Communication Systems
Jakob Karszt,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1854instance,Business Information and Communication Systems
Uwe Kersten,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,Business Information and Communication Systems
Hans-Peter Kriegel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1858instance,Business Information and Communication Systems
Rudolf Krieger,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1859instance,Business Information and Communication Systems
Herbert Kuss,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1860instance,Business Information and Communication Systems
Georg Lausen,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1861instance,Business Information and Communication Systems
Rüdiger A. Lepp,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1862instance,Business Information and Communication Systems
Thomas Mochel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1868instance,Business Information and Communication Systems
Tibor Németh,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1872instance,Business Information and Communication Systems
Nikolai Preiß,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1881instance,Business Information and Communication Systems
Jörg Puchan,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1882instance,Business Information and Communication Systems
Reinhard Richter,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1884instance,Business Information and Communication Systems
Peter Sander,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1885instance,Business Information and Communication Systems
Gunter Schlageter,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1887instance,Business Information and Communication Systems
Frank Schönthaler,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1890instance,Business Information and Communication Systems
Frank Staab,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1895instance,Business Information and Communication Systems
Andreas Weber,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1900instance,Business Information and Communication Systems
Wolfgang Weber,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1901instance,Business Information and Communication Systems
Hongbo Xu,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1908instance,Business Information and Communication Systems
Shenqing Yang,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1909instance,Business Information and Communication Systems
Peter Jaeschke,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1915instance,Business Information and Communication Systems
Volker Sänger,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1917instance,Business Information and Communication Systems
Thomas Wendel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1920instance,Business Information and Communication Systems
Gabrielle Zimmermann (Scherrer),http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1951instance,Business Information and Communication Systems
David Faißt,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1953instance,Business Information and Communication Systems
Wolfgang Weitz,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1958instance,Business Information and Communication Systems
Jörg Desel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1966instance,Business Information and Communication Systems
Thomas Freytag,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1968instance,Business Information and Communication Systems
Armin Fost,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1970instance,Business Information and Communication Systems
Bernhadr Kölmel,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1989instance,Business Information and Communication Systems
Gerald Kromer,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1992instance,Business Information and Communication Systems
Julia Startseva,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2130instance,Business Information and Communication Systems
Fabian Schroeder,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id82instance,Business Information and Communication Systems
Christian Rupprecht,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id97instance,Business Information and Communication Systems
Stefan Thanheiser,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id96instance,Efficient Algorithms
Sventje Dieter,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2008instance,Efficient Algorithms
Urban Richter,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2081instance,Efficient Algorithms
Sanaz Mostaghim,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2127instance,Efficient Algorithms
Bernd Scheuermann,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id3instance,Efficient Algorithms
Matthias Bonn,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id87instance,Efficient Algorithms
Hartmut Schmeck,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id29instance,Efficient Algorithms
Lei Liu,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2120instance,Efficient Algorithms
André Wiesner,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id65instance,Efficient Algorithms
Jürgen Branke,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id15instance,Efficient Algorithms
Holger Prothmann,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2118instance,Efficient Algorithms
Ingo Paenke,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2091instance,Efficient Algorithms
Michael Guntsch,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id19instance,Efficient Algorithms
Martin Middendorf,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id48instance,Efficient Algorithms
Kalyanmoy Deb,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2038instance,Efficient Algorithms
